original,wt
30.787835249,-47.9489612211
28.7107279693,-53.5842430742
28.7107279693,-56.707590602
28.7107279693,-57.1117709759
28.7107279693,-54.7143672815
28.7107279693,-49.5639347338
31.4458812261,-41.8401073028
31.4458812261,-31.8476103352
31.4458812261,-20.0044169275
31.4458812261,-6.82455299968
31.4458812261,7.1037036892
34.6848659004,21.1432819278
34.6848659004,34.6363254076
34.6848659004,46.9335347845
34.6848659004,57.4235711754
34.6848659004,65.5612461896
36.8256704981,70.8932727886
36.8256704981,73.08044896
36.8256704981,71.9152875582
36.8256704981,67.3342847554
36.8256704981,59.4242295276
39.8271072797,48.4221900242
39.8271072797,34.7090616377
39.8271072797,18.7968178746
39.8271072797,1.30986029836
39.8271072797,-17.038890713
43.4918582375,-35.4762955153
43.4918582375,-53.2006158806
43.4918582375,-69.4152224512
43.4918582375,-83.3630321891
43.4918582375,-94.3602461978
52.0488505747,-101.827940517
52.0488505747,-105.320103582
52.0488505747,-104.546815652
52.0488505747,-99.3914268352
52.0488505747,-89.9208077302
65.3946360153,-76.3880136748
65.3946360153,-59.2270107438
65.3946360153,-39.0394469042
65.3946360153,-16.5738009081
65.3946360153,7.30241126979
79.5028735632,31.636363959
79.5028735632,55.428281151
79.5028735632,77.6728823591
79.5028735632,97.4021902902
79.5028735632,113.727870614
87.683908046,125.88125033
87.683908046,133.249221548
87.683908046,135.404380414
87.683908046,132.127970725
87.683908046,123.424488827
86.2016283525,109.527147588
86.2016283525,90.8937770238
86.2016283525,68.1931401743
86.2016283525,42.2820471893
86.2016283525,14.1740405184
80.8227969349,-14.9992167063
80.8227969349,-44.0324031128
80.8227969349,-71.6951496517
80.8227969349,-96.7829050637
80.8227969349,-118.168044735
79.2763409962,-134.849168384
79.2763409962,-145.996564587
79.2763409962,-150.991926287
79.2763409962,-149.460577198
79.2763409962,-141.294708795
87.4755747126,-126.666424648
87.4755747126,-106.02973538
87.4755747126,-80.1110346682
87.4755747126,-49.8880049431
87.4755747126,-16.5573398128
101.912356322,18.5078831342
101.912356322,53.8099040526
101.912356322,87.7853606209
101.912356322,118.869664324
101.912356322,145.564260238
117.60440613,166.504097405
117.60440613,180.52246614
117.60440613,186.71029339
117.60440613,184.467041381
117.60440613,173.540538232
